issu,act,ctxt,key,summ,area,date
System of accountability for principal officials,,Constitutional Affairs Panel,44403,"CA Panel discussed with the Administration the review on the system of accountability for principal officials referred to in CE's 2000 Policy Address. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/126e08.pdf"" target=""_blank"">Paper</a>], [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b270e04.pdf"" target=""_blank"">Follow-up paper</a>] &amp; [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b270e05.pdf"" target=""_blank"">Follow-up paper</a>]",Constitutional Affairs,31.10.00
System of accountability for principal officials,,Constitutional Affairs Panel,44404,"CA Panel discussed the issues for public consultation by the Panel on the proposed system of accountability for principal officials [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b498e04.pdf"" target=""_blank"">Paper</a>], and the suggestions made by-
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Hon Emily LAU. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b498e05.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Dr Hon YEUNG Sum. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b498e06.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>",Constitutional Affairs,18.12.00
System of accountability for principal officials,,Constitutional Affairs Panel,44405,CA Panel received views from academica on the proposed system of accountability for principal officials.,Constitutional Affairs,3.3.01
System of accountability for principal officials,,Constitutional Affairs Panel,44406,"CA Panel discussed the Administration's paper entitled ""System of Accountability of Principal Officials"". [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b1601e02.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.5.01
System of accountability for principal officials,,Constitutional Affairs Panel,44407,"Delegation of CA Panel undertook a duty visit to  study the systems of executive accountability in the United Kingdom, France and Germany.  Report on the duty visit was submitted to CA Panel on 27.8.01. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/rpt.pdf"" target=""_blank"">Report</a>]",Constitutional Affairs,13.6.01 to 24.6.01
System of accountability for principal officials,,Constitutional Affairs Panel,44408,"CA Panel was briefed on the progress of the study on the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b2261e01.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief which summarized the main issues considered by CA Panel relating to the proposed accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b2207e01.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,27.8.01
System of accountability for principal officials,,Policy Address,44409,"CE announced in the 2001 Policy Address the introduction of a new system of appointing principal officials, applicable to the top three Secretaries (the Chief Secretary for Administration (CS), the Financial Secretary (FS) and the Secretary for Justice (SJ)) and most Directors of Bureaux. [<a href=""http://www.policyaddress.gov.hk/pa01/e130.htm"" target=""_blank"">2001 Policy Address</a> ""paragraphs 131 to 140""]",Constitutional Affairs,10.10.01
System of accountability for principal officials,,Constitutional Affairs Panel,44410,"CA Panel received views from academia on the proposed accountability system for principal officials.
<br /><br />CA Panel discussed the Administration's paper on the progress of the study on the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1030cb2-194-1.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,19.11.01
System of accountability for principal officials,,Constitutional Affairs Panel,44411,"CA Panel discussed the Administration's response to members' concerns raised at the meeting held on 19.11.01 about the differences between the terms ""public servants"" and ""civil servants"", and whether introducing a new system of appointment for certain principal officials on terms different from those in the civil service would contravene the Basic Law. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1217cb2-693-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />CA Panel also discussed the Administration's paper entitled ""Enhancing the Accountability System: the post of Secretary for Justice"". [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1217cb2-675-3e.pdf"" target=""_blank"">Paper</a>] &amp; [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca0121cb2-921-3e.pdf"" target=""_blank"">Supplementary paper</a>]",Constitutional Affairs,17.12.01
System of accountability for principal officials,,Constitutional Affairs Panel,44412,"CA Panel was briefed on the Research Report on ""Restrictions on Activities of Former Heads of Government and Former Senior Members of Government"" prepared by the LegCo Secretariat. [<a href=""http://www.legco.gov.hk/yr01-02/english/sec/library/0102rp02e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.1.02
System of accountability for principal officials,,Constitutional Affairs Panel,44413,"CA Panel was briefed on the Research Report on ""Process of Appointment of Senior Members of Government in Selected Countries"" prepared by the LegCo Secretariat. [<a href=""http://www.legco.gov.hk/yr01-02/english/sec/library/0102rp05e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.3.02
System of accountability for principal officials,,Council Meeting,44414,"CE addressed the Council on the framework of the new accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0417ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 7""]",Constitutional Affairs,17.4.02
System of accountability for principal officials,,Constitutional Affairs Panel,44415,"CA Panel discussed the Administration's paper which set out the framework of the new accountability system for principal officials and the details relating to its implementation. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca0418cb2-paper-e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.4.02
System of accountability for principal officials,,House Committee,44416,The House Committee (HC) agreed to set up the Subcommittee to study the proposed accountability system for principal officials and related issues (SUBC).,Constitutional Affairs,19.4.02
System of accountability for principal officials,,Subcommittee to study discrimination on the ground of sexual orientation,44417,"SUBC held 15 meetings [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/sub_com/hs51/general/hs51.htm"" target=""_blank"">Meeting schedules</a>] and reported its deliberations on the proposed accountability system for principal officials in its three reports submitted to HC on -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top""><a href=""http://www.legco.gov.hk/yr01-02/english/hc/general/hc_mtg.htm#2405"" target=""_blank"">24.5.02</a> [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/papers/hc0524cb2-2015.pdf"" target=""_blank"">First report</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top""><a href=""http://www.legco.gov.hk/yr01-02/english/hc/general/hc_mtg.htm#0706"" target=""_blank"">7.6.02</a> [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/papers/hc0607cb2-2171.pdf"" target=""_blank"">Second report</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top""><a href=""http://www.legco.gov.hk/yr01-02/english/hc/general/hc_mtg.htm#1406"" target=""_blank"">14.6.02</a> [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/papers/hc0607cb2-2171.pdf"" target=""_blank"">Final report</a>]
</td></tr></table>
Relevant papers considered by SUBC were set out in the Appendix to the Final Report of SUBC. [<a href=""#app"">Appendix</a>]",Constitutional Affairs,-
System of accountability for principal officials,,Council Motion,44418,"The Secretary for Constitutional Affairs moved a motion ""That this Council supports the accountability system for principal officials"" for debate. The motion was passed. [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0529ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 82""]",Constitutional Affairs,29.5.02
System of accountability for principal officials,,Establishment Subcommittee,44419,"The Establishment Subcommittee (ESC) endorsed the proposed creation of 14 non-civil service principal official positions under the accountability system, offset by deletion of three civil service directorate posts of CS, FS and SJ; and creation of one non-civil service position of Director of Chief Executive's Office (DCEO), offset by deletion of the civil service post of Information Coordinator with effect from 1 July 2002 to facilitate implementation of the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/esc/papers/e02-02e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,6.6.02
System of accountability for principal officials,,Finance Committee,44420,"The Finance Committee (FC) approved the Administration's staffing proposal endorsed by ESC on 6.6.02. [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/fc/papers/f02-20e.pdf"" target=""_blank"">Paper</a>]
<br /><br />FC also approved the provision of funds for the remuneration of those principal officials under the accountability system and to effect other necessary changes to the 2002-03 Estimates of Expenditure upon implementation of the accountability system. [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/fc/papers/f02-21e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,14.6.02
System of accountability for principal officials,,Constitutional Affairs Panel,44421,"CA Panel discussed the Code for Principal Officials under the Accountability System published in the Gazette on 28 June 2002. [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/sub_com/hs51/papers/hs51cb2-2462-1e-scan.pdf"" target=""_blank"">Paper</a>] , and the circular setting out the working relationship between principal officials and civil servants under the accountability system.[<a href=""http://www.legco.gov.hk/yr01-02/english/hc/sub_com/hs51/papers/hs51cb-2467-e1.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,9.7.02
System of accountability for principal officials,,Council Question,44422,"Hon Albert CHAN raised a written question on ""Contents of employment contracts signed with and declarations of interests made by principal officials under the accountability system"". [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0710ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 106""]",Constitutional Affairs,10.7.02
System of accountability for principal officials,,Information Technology and Broadcasting Panel,44423,"Information Technology and Broadcasting (ITB Panel) discussed issues relating to prevention of conflict of interest of the Secretary for Commerce, Industry and Technology.",Constitutional Affairs,17.9.02
System of accountability for principal officials,,Constitutional Affairs Panel,44424,"CA Panel discussed the Information Note on ""Selected Issues Relation to Declaration of Interests and Avoidance of Conflicts of Interests by Senior Members of Government"" prepared by the LegCo Secretariat. [<a href=""http://www.legco.gov.hk/yr01-02/english/sec/library/0102in35e.pdf"" target=""_blank"">Paper</a>] 
<br /><br />The LegCo Secretariat prepared a background brief entitled ""Accountability System for Principal Officials and Related Issues - Declaration and Handling of Investments/Interests"" to update members on the developments subsequent to the special CA Panel meeting held on 9.7.02. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1007cb2-2868-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />CA Panel discussed the Administration's paper on ""Declaration of interests by CE, members of the Executive Council and principal officials under the accountability system"". [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1007cb2-2868-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,7.10.02
System of accountability for principal officials,,Council Question,44425,"Hon CHEUNG Man-kwong raised an oral question on ""Compliance with Code for Principal Officials under the Accountability System"" <a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1023ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 27""]",Constitutional Affairs,23.10.02
System of accountability for principal officials,,Constitutional Affairs Panel,44426,"CA Panel discussed the assessment of responsibilities of principal officials under the accountability system, as a result of a referral from the Panel on Financial Affairs after its discussion on the Report of Panel on Inquiry on Penny Stocks Incident. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1021cb2-114-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.11.02
System of accountability for principal officials,,Education Panel,44427,Education Panel discussed issues relating to prevention of conflict of interest of the Secretary for Education and Manpower.,Constitutional Affairs,18.11.02
System of accountability for principal officials,,Establishment Subcommittee,44428,"ESC endorsed the proposals to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">reorganize the former Housing Bureau and the Housing Department [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-7e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">merge the Education and Manpower Bureau and the Education Department into a new Education and Manpower Bureau with effect from 1.1.03 to strengthen the link between the formulation and implementation of education policies following the implementation of the accountability system. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-6e.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/esc18(02-03)e-scan.pdf"" target=""_blank"">Follow-up paper</a>]
</td></tr></table>",Constitutional Affairs,20.11.02
System of accountability for principal officials,,Finance Committee,44429,"FC approved the Administration's proposal endorsed by ESC on 20.11.02. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f02-42e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,6.12.02
System of accountability for principal officials,,Establishment Subcommittee,44430,"ESC endorsed the proposals to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of Administrative Officer Staff Grade C (D2)/non-civil service position at D2-equivalent in the Environment, Transport and Works Bureau of Government Secretariat with effect from 1.1.03 as Administrative Assistant to Secretary for the Environment, Transport and Works; to be offset by deletion of one permanent post of Administrative Officer Staff Grade C (D2) in the Transport Sub-branch [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-8e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of Administrative Officer Staff Grade C/non-civil service position at D2-equivalent (D2) permanent post to be offset by deletion of the deletion of 1 Administrative Officer Staff Grade C (D2) with effect from 1.1.03 as Administrative Assistant to Secretary for Commerce, Industry and Technology. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-9e.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>",Constitutional Affairs,11.12.02
System of accountability for principal officials,,Council Question,44431,"Hon Emily LAU raised a written question on ""Use of flight awards earned from government passages."" [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1211ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 70""]",Constitutional Affairs,11.12.02
System of accountability for principal officials,,Finance Committee,44432,"FC approved the Administration's proposals endorsed by ESC on 11.12.02. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f02-46e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,20.12.02
System of accountability for principal officials,,Constitutional Affairs Panel,44433,"CA Panel discussed the Administration's six-month report on the implementation of the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0120cb2-930-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief to highlight the issues previously raised by Members and summarize the developments subsequent to the implementation of the accountability system on 1.7.02. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0721cb2-2864-2e.pdf"" target=""_blank"">Paper</a>]
<br /><br />CA Panel also discussed the Administration's paper on attendance of principal officials at committee meetings of LegCo. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-654-2e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief on ""Arrangements during principal official's temporary absence and attendance of principal officials at meetings of LegCo"". [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-654-3e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.2.03
System of accountability for principal officials,,Establishment Subcommittee,44434,"ESC endorsed the proposal to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">delete 1 Chief Estate Surveyor (D1) in the Lands Department and 1 Government Town Planner (D2) and 1 Chief Town Planner (D1) in the Planning Department with retrospective effect from 8.2.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-11e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">merge Government Land Transport Agency, Government Supplies Department and Printing Department into a new department named Government Logistics Department with effect from 1.7.03.  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-10e.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>",Constitutional Affairs,19.2.03
System of accountability for principal officials,,Finance Committee,44435,"FC approved the Administration's proposals endorsed by ESC on 19.2.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f02-61e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,7.3.03
System of accountability for principal officials,,Constitutional Affairs Panel,44436,CA Panel discussed prevention of conflict of interest and related issues arising from the incident of the FS purchasing a vehicle shortly before the announcement of the increase in motor first registration tax.,Constitutional Affairs,17.3.03
System of accountability for principal officials,,House Committee,44437,HC discussed how to follow up the incident of FS.,Constitutional Affairs,21.3.03
System of accountability for principal officials,,Council Motion,44438,"Dr Hon YEUNG Sum moved a motion seeking the appointment of a select committee and powers conferred by the Legislative Counicl (Powers and Privileges) Ordinance for the select committee to inquire into the incident of FS and related matters.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm0409ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 186""]",Constitutional Affairs,9.4.03
System of accountability for principal officials,,Council Question,44439,"Hon CHEUNG Man-kwong raised an oral question on ""Procedure for resignation of principal officials"". [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm0430ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 25""]",Constitutional Affairs,30.4.03
System of accountability for principal officials,,Council Motion,44440,"Hon Margaret NG moved the motion ""That this Council has no confidence in the Financial Secretary, Mr Antony LEUNG"" for debate.  The motion was negatived.[<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm0507ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 165""]",Constitutional Affairs,7.5.03
System of accountability for principal officials,,Constitutional Affairs Panel,44441,"CA Panel discussed the Administration's paper on ""Procedures for appointment and removal of principal officials under the accountability system"". [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0519cb2-2088-5e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,19.5.03
System of accountability for principal officials,,Establishment Subcommittee,44442,"ESC endorsed the proposal to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">incorporate the Official Languages Agency into the Civil Service Bureau with effect from 1 July 2003, and creation of one permanent post of Administrative Officer Staff Grade C (D2)/non-civil service position at D2-equivalent as Administrative Assistant to Secretary for the Civil Service [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-01e.pdf"" target=""_blank"">Paper</a>];
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">reorganize the Commerce, Industry and Technology Bureau of Government Secretariat with effect from 1.7.03 [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-02e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of Administrative Officer Staff Grade C (D2)/non-civil service position at D2-equivalent in the Security Bureau of Government Secretariat with effect from 1.7.03 as Administrative Assistant to Secretary for Security, to be offset by deletion of one permanent post of Administrative Officer Staff Grade C (D2) post in the Narcotics Division. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-03e.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>",Constitutional Affairs,21.5.03
System of accountability for principal officials,,Establishment Subcommittee,44443,"The Administration tabled a paper at ESC meeting to update members on the implementation of the staffing reviews and re-organization exercises arising from the accountability system since 1.7.02, especially on the savings achieved thus far. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/esc-42-e-scan.pdf"" target=""_blank"">Paper</a>]
<br /><br />ESC requested more comprehensive information on the establishment changes arising from the implementation of the accountability system, and hence all staffing proposals on the agenda at ESC meeting on 28.5.03 was adjourned (A special meeting was scheduled for 11.6.03 to consider the items.).",Constitutional Affairs,28.5.03
System of accountability for principal officials,,Finance Committee,44444,"FC approved the Administration's proposals endorsed by ESC on 21.5.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f03-11e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,30.5.03
System of accountability for principal officials,,Establishment Subcommittee,44445,"In response to the ESC's request made at the meeting held on 28.5.03, the Administration provided an information paper which detailed the creation and deletion of directorate posts after Implementation of the accountability system  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/ei03-02e.pdf"" target=""_blank"">Paper</a>]
<br /><br />ESC endorsed the proposal to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create of one permanent post of Administrative Officer Staff Grade C (AOSGC) (D2)/non-civil service position at D2-equivalent in the Treasury Branch of Financial Services and the Treasury Bureau of Government Secretariat with effect from 1.7.03 as Administrative Assistant (AA) to Secretary for Financial Services and the Treasury, to be offset by deletion of one permanent post of Principal Valuation Surveyor (D1) in Rating and Valuation Department  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-09e.pdf"" target=""_blank"">Paper</a>];
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of AOSGC (D2)/non-civil service position at D2-equivalent in the Home Affairs Bureau of Government Secretariat with effect from 1.7.03 as AA to Secretary for Home Affairs, to be offset by deletion of one permanent post of AOSGC (D2); deletion of one permanent post of AOSGC (D2); and redistribution the duties and responsibilities among the directorate posts on the establishment of the Bureau and the Home Affairs Department [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-05e.pdf"" target=""_blank"">Paper</a>];
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">merge the Labour Branch of Economic Development and Labour Bureau of the Government Secretariat and the Labour Department; and creation of one permanent post of AOSGC (D2)/non-civil service position at D2-equivalent as AA to the Secretary for Economic Development and Labour with effect from 1.7.03  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-07e.pdf"" target=""_blank"">Paper</a>];
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of AOSGC (D2)/non-civil service position at D2-equivalent as Principal Assistant Secretary cum AA to Secretary for Constitutional Affairs with effect from 1.7.03, to be offset by deletion of one permanent post of AOSGC (D2) in the Constitutional Affairs Bureau of the Government Secretariat [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-08e.pdf"" target=""_blank"">Paper</a>];
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create two permanent posts of one Administrative Officer Staff Grade A1 (D8) and one AOSGC (D2)/non-civil service position at D2-equivalent in the Health, Welfare and Food Bureau of Government Secretariat with effect from 1.7.03, to be offset by deletion of two permanent posts of one Administrative Officer Staff Grade A1 (D8) and one AOSGC (D2); and re-distribution of duties among the directorate posts in the Food and Environmental Hygiene Division of the Bureau [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-11e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">create one permanent post of Administrative Officer Staff Grade A1 (D8) with effect from 1 July 2003; creation of one permanent post of Administrative Officer Staff Grade B (D3) with immediate effect and deletion of two permanent posts of Administrative Officer Staff Grade A1 (D8) with effect from 1.7.03 in the Environment and Transport Branch of Environment, Transport and Works Bureau of Government Secretariat; and deletion of one permanent post of Principal Executive Officer (D1) with effect from 1.11.03 in the Works Branch of the Bureau. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-06e.pdf"" target=""_blank"">Paper</a>]
</td></tr></table><br />
The LegCo Secretariat prepared a background brief for ESC on staffing proposals relating to the implementation of the accountability system for principal officials.  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/esc47e.pdf"" target=""_blank"">Paper</a>]
<br /><br />At ESC's request, the Administration provided members with information on civil service directorate posts created for special purposes in organizations other than Government bureaux and departments, and which had been left vacant.  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/esc-51-e-scan.pdf"" target=""_blank"">Follow-up paper</a>]",Constitutional Affairs,11.6.03
System of accountability for principal officials,,Establishment Subcommittee,44446,"ESC endorsed the deletion of the 6 Chief Superintendents of Police in the Hong Kong Police Force.  [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e03-11e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.6.03
System of accountability for principal officials,,Finance Committee,44447,"FC approved the Administration's proposals endorsed by ESC on 11.6.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f03-29e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,27.6.03
System of accountability for principal officials,,Council Motion,44448,"Dr Hon YEUNG Sum moved a motion ""That this Council considers that the Accountability System for Principal Officials introduced by the Chief Executive Mr TUNG Chee-kwa, is neither democratic nor accountable, and is a failed system"".  The motion  was negatived. [<a href=""http://www.legco.gov.hk/yr02-03/chinese/counmtg/floor/cm0709ti-confirm-c.pdf"" target=""_blank"">Hansard</a> ""page 152""]",Constitutional Affairs,9.7.03
System of accountability for principal officials,,Finance Committee,44449,"FC approved the Administration's proposals endorsed by ESC on 18.6.03. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/fc03-36e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.7.03
System of accountability for principal officials,,Constitutional Affairs Panel,44450,"CA Panel discussed the ""Twelve-month Report on Implementation of the Accountability System for Principal Officials"" provided by the Administration. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0721cb2-2864-3e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The LegCo Secretariat prepared a background brief to assist CA Panel in considering the Administration's report [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0721cb2-2864-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.7.03
System of accountability for principal officials,,Constitutional Affairs Panel,44451,"CA Panel discussed the Administration's paper on issues relating to internal transfer of statutory powers and functions of the CS and FS to the responsible Directors of Bureaux. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca1117cb2-331-10e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.11.03
System of accountability for principal officials,,Council Question,44452,"Hon Frederick FUNG raised a question on ""Temporary acting appointments of accountable officials"".[<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0505ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 58""]",Constitutional Affairs,5.5.04
System of accountability for principal officials,,Council Question,44453,"Hon Emily LAU raised a question on ""Trusts set up to prevent conflict of interest""[<a href=""http://www.legco.gov.hk/yr03-04/chinese/counmtg/floor/cm0519ti-confirm-c.pdf"" target=""_blank"">Hansard</a> ""page 46""]",Constitutional Affairs,19.5.04
System of accountability for principal officials,,Council Question,44454,"Hon Abraham SHEK raised a question on ""Appointment of permanent secretaries of policy bureaux and heads of government departments"". [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0609ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 51""]",Constitutional Affairs,9.6.04
System of accountability for principal officials,,Press Release,44455,"The Administration announced the establishment of ""Advisory Committee on Post-Office Employment for Principal Officials under Accountability System"" [<a href=""http://www.legco.gov.hk/yr04-05/english/panels/ca/papers/ca0418cb2-1302-1e.pdf"" target=""_blank"">Press release</a>]",Constitutional Affairs,15.4.05
